name,header,
Carassius langsdorfii,Animalia;Chordata;Teleostei;Cypriniformes;Cyprinidae;Carassius;langsdorfii,
Mustelus manazo,Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Triakidae;Mustelus;manazo,
Sigmops gracilis,Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Sigmops;gracilis,
Coryphaenoides armatus,Animalia;Chordata;Teleostei;Gadiformes;Macrouridae;Coryphaenoides;armatus,
Coryphaenoides yaquinae,Animalia;Chordata;Teleostei;Gadiformes;Macrouridae;Coryphaenoides;yaquinae,
Coryphaenoides nasutus,Animalia;Chordata;Teleostei;Gadiformes;Macrouridae;Coryphaenoides;nasutus,
Coryphaenoides longifilis,Animalia;Chordata;Teleostei;Gadiformes;Macrouridae;Coryphaenoides;longifilis,
Coryphaenoides acrolepis,Animalia;Chordata;Teleostei;Gadiformes;Macrouridae;Coryphaenoides;acrolepis,
Coryphaenoides cinereus,Animalia;Chordata;Teleostei;Gadiformes;Macrouridae;Coryphaenoides;cinereus,
Albatrossia pectoralis,Animalia;Chordata;Teleostei;Gadiformes;Macrouridae;Albatrossia;pectoralis,
Coelorinchus gilberti,Animalia;Chordata;Teleostei;Gadiformes;Macrouridae;Coelorinchus;gilberti,
Coelorinchus macrochir,Animalia;Chordata;Teleostei;Gadiformes;Macrouridae;Coelorinchus;macrochir,
Anguilla megastoma,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;megastoma,
Anguilla interioris,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;interioris,
Anguilla anguilla,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;anguilla,
Anguilla japonica,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;japonica,
Anguilla australis,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;australis,
Anguilla marmorata,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;marmorata,
Anguilla mossambica,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;mossambica,
Anguilla bicolor,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;bicolor,
Anguilla malgumora,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;malgumora,
Anguilla celebesensis,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;celebesensis,
Anguilla nebulosa,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;nebulosa,
Anguilla obscura,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;obscura,
Anguilla dieffenbachii,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;dieffenbachii,
Anguilla reinhardtii,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;reinhardtii,
Anguilla rostrata,Animalia;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;rostrata,
Eleotris oxycephala,Animalia;Chordata;Teleostei;Gobiiformes;Eleotridae;Eleotris;oxycephala,
Mugilogobius abei,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Mugilogobius;abei,
Mugilogobius sp. 1,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Mugilogobius,
Mugilogobius sp. 2,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Mugilogobius,
Mugilogobius chulae,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Mugilogobius;chulae,
Mugilogobius parvus,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Mugilogobius,
Tridentiger barbatus,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Tridentiger;barbatus,
Tridentiger bifasciatus,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Tridentiger;bifasciatus,
Tridentiger brevispinis,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Tridentiger;brevispinis,
Tridentiger obscurus,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Tridentiger;obscurus,
Tridentiger kuroiwae,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Tridentiger;kuroiwae,
Tridentiger nudicervicus,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Tridentiger;nudicervicus,
Tridentiger trigonocephalus,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Tridentiger;trigonocephalus,
Diplophos taenia,Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Diplophos;taenia,
Margrethia obtusirostra,Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Margrethia;obtusirostra,
Bonapartia pedaliota,Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Bonapartia; pedaliota,
Sigmops ebelingi,Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Sigmops;ebelingi,
Gonostoma elongatum,Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Gonostoma;elongatum,
Sigmops longipinnis,Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Sigmops;longipinnis,
Sigmops bathyphilus,Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Sigmops;bathyphilus,
