"","Gene","CpG_ratio","status"
"1","Mfran_g2542 ",0.790018,"weakly"
"2","Mfran_g2548 ",0.95738,"weakly"
"3","Mfran_g2550 ",1.20425,"weakly"
"4","Mfran_g2551 ",0.813254,"weakly"
"5","Mfran_g2552 ",0.248437,"heavily"
"6","Mfran_g2557 ",0.210376,"heavily"
"7","Mfran_g2563 ",0.201844,"heavily"
"8","Mfran_g2566 ",0.10495,"heavily"
"9","Mfran_g2567 ",0.499716,"heavily"
"10","Mfran_g2568 ",0.792091,"weakly"
"11","Mfran_g2569 ",0.261694,"heavily"
"12","Mfran_g2570 ",0.644751,"weakly"
"13","Mfran_g2571.1 ",0.237585,"heavily"
"14","Mfran_g2572 ",0.858368,"weakly"
"15","Mfran_g2573 ",0.890153,"weakly"
"16","Mfran_g2574.1 ",0.295671,"heavily"
"17","Mfran_g2575 ",0.32936,"heavily"
"18","Mfran_g2576.1 ",0.416348,"heavily"
"19","Mfran_g2577 ",0.350752,"heavily"
"20","Mfran_g2579 ",0.178666,"heavily"
"21","Mfran_g2580 ",0.736866,"weakly"
"22","Mfran_g2581 ",0.322945,"heavily"
"23","Mfran_g2582 ",0.268987,"heavily"
"24","Mfran_g2583 ",0.348349,"heavily"
"25","Mfran_g2584 ",0.777682,"weakly"
"26","Mfran_g2586 ",0.587791,"weakly"
"27","Mfran_g2588 ",0.629497,"weakly"
"28","Mfran_g2589 ",0.385091,"heavily"
"29","Mfran_g2590 ",0.181306,"heavily"
"30","Mfran_g2592.1 ",0.291257,"heavily"
"31","Mfran_g2595 ",0.667165,"weakly"
"32","Mfran_g2597.1 ",0.966176,"weakly"
"33","Mfran_g2598 ",0.678901,"weakly"
"34","Mfran_g2599 ",0.338047,"heavily"
"35","Mfran_g2601 ",0.3546,"heavily"
"36","Mfran_g2603 ",0.24686,"heavily"
"37","Mfran_g2604.2 ",0.722014,"weakly"
"38","Mfran_g2606 ",0.654588,"weakly"
"39","Mfran_g2607.1 ",0.857974,"weakly"
"40","Mfran_g2609 ",0.765333,"weakly"
"41","Mfran_g2611.1 ",0.310333,"heavily"
"42","Mfran_g2614 ",0.410818,"heavily"
"43","Mfran_g2616 ",0.535635,"heavily"
"44","Mfran_g2617 ",0.34327,"heavily"
"45","Mfran_g2619 ",0.782013,"weakly"
"46","Mfran_g2621 ",0.598462,"weakly"
"47","Mfran_g2625 ",0.755234,"weakly"
"48","Mfran_g2626 ",0.665223,"weakly"
"49","Mfran_g2627 ",0.790018,"weakly"
"50","Mfran_g2629 ",0.267331,"heavily"
"51","Mfran_g2631 ",1.10569,"weakly"
"52","Mfran_g2632 ",0.818698,"weakly"
"53","Mfran_g2633.1 ",0.379682,"heavily"
"54","Mfran_g2634 ",0.276303,"heavily"
"55","Mfran_g2635 ",0.750571,"weakly"
"56","Mfran_g2638 ",0.616003,"weakly"
"57","Mfran_g2640 ",0.313783,"heavily"
"58","Mfran_g2641 ",0.241295,"heavily"
"59","Mfran_g2644 ",0.888779,"weakly"
"60","Mfran_g2645 ",0.400994,"heavily"
"61","Mfran_g2646 ",0.474534,"heavily"
"62","Mfran_g2647 ",0.756566,"weakly"
"63","Mfran_g2648.1 ",0.477347,"heavily"
"64","Mfran_g2649 ",0.880891,"weakly"
"65","Mfran_g2650 ",0.326828,"heavily"
"66","Mfran_g2652 ",0.309695,"heavily"
"67","Mfran_g2653 ",0.329984,"heavily"
"68","Mfran_g2654 ",0.264803,"heavily"
"69","Mfran_g2655 ",0.574996,"weakly"
"70","Mfran_g2656 ",0.492127,"heavily"
"71","Mfran_g2657 ",0.259152,"heavily"
"72","Mfran_g2659 ",0.586369,"weakly"
"73","Mfran_g2661 ",0.702025,"weakly"
"74","Mfran_g2662 ",0.707186,"weakly"
"75","Mfran_g2663 ",0.7366,"weakly"
"76","Mfran_g2664 ",0.600924,"weakly"
"77","Mfran_g2666 ",0.74711,"weakly"
"78","Mfran_g2668 ",0.0416495,"heavily"
"79","Mfran_g2669 ",0.209725,"heavily"
"80","Mfran_g2670 ",0.202716,"heavily"
"81","Mfran_g2671.1 ",0.291395,"heavily"
"82","Mfran_g2673.1 ",0.326241,"heavily"
"83","Mfran_g2674 ",0.349623,"heavily"
"84","Mfran_g2676.1 ",0.287364,"heavily"
"85","Mfran_g2679 ",1.10009,"weakly"
"86","Mfran_g2681 ",0.533734,"heavily"
"87","Mfran_g2682 ",0.893265,"weakly"
"88","Mfran_g2683 ",0.583768,"weakly"
"89","Mfran_g2685 ",0.378678,"heavily"
"90","Mfran_g2686 ",0.259602,"heavily"
"91","Mfran_g2688 ",0.298561,"heavily"
"92","Mfran_g2690 ",0.242184,"heavily"
"93","Mfran_g2691 ",0.26349,"heavily"
"94","Mfran_g2692 ",0.336622,"heavily"
"95","Mfran_g2693 ",0.291223,"heavily"
"96","Mfran_g2694 ",0.309659,"heavily"
"97","Mfran_g2695 ",0.732251,"weakly"
"98","Mfran_g2696 ",0.309444,"heavily"
"99","Mfran_g2697.1 ",0.29935,"heavily"
"100","Mfran_g2698 ",0.315701,"heavily"
"101","Mfran_g2699 ",0.398716,"heavily"
"102","Mfran_g2700 ",0.316326,"heavily"
"103","Mfran_g2701 ",0.374095,"heavily"
"104","Mfran_g2702 ",0.349791,"heavily"
"105","Mfran_g2704 ",0.230883,"heavily"
"106","Mfran_g2705.1 ",0.399734,"heavily"
"107","Mfran_g2707 ",1.03695,"weakly"
"108","Mfran_g2708 ",0.250697,"heavily"
"109","Mfran_g2710 ",0.863532,"weakly"
"110","Mfran_g2711 ",0.390763,"heavily"
"111","Mfran_g2712 ",0.0532979,"heavily"
"112","Mfran_g2713 ",0.332135,"heavily"
"113","Mfran_g2715.1 ",0.239259,"heavily"
"114","Mfran_g2716 ",0.369767,"heavily"
"115","Mfran_g2718 ",0.556933,"weakly"
"116","Mfran_g2719 ",0.964671,"weakly"
"117","Mfran_g2720 ",0.301663,"heavily"
"118","Mfran_g2721 ",0.359211,"heavily"
"119","Mfran_g2722 ",0.256172,"heavily"
"120","Mfran_g2723 ",0.394045,"heavily"
"121","Mfran_g2727 ",0.35634,"heavily"
"122","Mfran_g2728 ",0.329971,"heavily"
"123","Mfran_g2730 ",0.263176,"heavily"
"124","Mfran_g2733 ",0.330171,"heavily"
"125","Mfran_g2734 ",0.811371,"weakly"
"126","Mfran_g2735 ",0.215049,"heavily"
"127","Mfran_g2736 ",0.370102,"heavily"
"128","Mfran_g2737 ",0.271948,"heavily"
"129","Mfran_g2738.1 ",0.530078,"heavily"
"130","Mfran_g2739 ",0.706652,"weakly"
"131","Mfran_g2740 ",0.296533,"heavily"
"132","Mfran_g2741 ",0.1674,"heavily"
"133","Mfran_g2743.1 ",0.322053,"heavily"
"134","Mfran_g2745 ",0.553945,"weakly"
"135","Mfran_g2746.1 ",0.299239,"heavily"
"136","Mfran_g2747.1 ",0.469173,"heavily"
"137","Mfran_g2750.2 ",0.26585,"heavily"
"138","Mfran_g2751 ",0.286344,"heavily"
"139","Mfran_g2752 ",0.356325,"heavily"
"140","Mfran_g2753 ",0.329529,"heavily"
"141","Mfran_g2754 ",0.288441,"heavily"
"142","Mfran_g2755 ",0.503606,"heavily"
"143","Mfran_g2756 ",0.161286,"heavily"
"144","Mfran_g2757 ",0.429561,"heavily"
"145","Mfran_g2758 ",0.479293,"heavily"
"146","Mfran_g2759 ",0.430195,"heavily"
"147","Mfran_g2760 ",0.403488,"heavily"
"148","Mfran_g2761.1 ",0.350803,"heavily"
"149","Mfran_g2762 ",0.420034,"heavily"
"150","Mfran_g2763 ",0.781697,"weakly"
"151","Mfran_g2764 ",0.469769,"heavily"
"152","Mfran_g2765 ",0.716996,"weakly"
